;NRMSE;Calibration Error;Posterior Contraction
$v$;0.1059366085487835;0.03723684210526315;0.8675177411417192
$a$;0.10469075009757672;0.012368421052631612;0.9439808953835527
$z$;0.1025946693906915;0.012631578947368442;0.9445530823888995
$\tau$;0.10126241586746831;0.013421052631578972;0.9409091087718553
$s_v$;0.2429337885918758;0.019342105263157883;0.02944674528953506
$s_\tau$;0.10403120669016053;0.024736842105263168;0.9362828741418283
$u_{1, v}$;0.1739262956654597;0.013552631578947427;0.7147763633089497
$u_{1, a}$;0.0977777462188087;0.00697368421052633;0.9493185493902971
$u_{1, z}$;0.11680607009712107;0.03144736842105263;0.913297675236119
$u_{1, \tau}$;0.07179839539139649;0.03881578947368415;0.9793808381947153
$u_{1, s_v}$;0.24666458166415756;0.008421052631578968;0.054839660336846174
$u_{2, v}$;0.1266464976078756;0.01684210526315788;0.8201896297676645
$u_{2, a}$;0.07738478870814122;0.018026315789473668;0.9642617123816766
$u_{2, z}$;0.112145617713975;0.0230263157894737;0.9208931186605849
$u_{2, \tau}$;0.06838464774379849;0.028421052631578944;0.9846858679384753
$u_1:u_{2, v}$;0.1700897135896993;0.013947368421052625;0.5935114772520484
$u_1:u_{2, a}$;0.13208606732189115;0.03447368421052632;0.8832279762745736
$u_1:u_{2, z}$;0.14939536770206902;0.01105263157894737;0.8348375104819457
