;NRMSE;Calibration Error;Posterior Contraction
$v$;0.09191433083505307;0.026052631578947355;0.8387683999524644
$a$;0.09214250532503898;0.014210526315789479;0.9255800397443108
$z$;0.09775815559088322;0.012236842105263185;0.9266803294769635
$\tau$;0.09209476762640184;0.040394736842105206;0.9238548718401691
$s_v$;0.2451527125858658;0.014078947368421024;0.0
$s_\tau$;0.11990453710969291;0.055526315789473674;0.8027091354043459
$u_{1, v}$;0.15928221630090333;0.011184210526315769;0.6703368838536415
$u_{1, a}$;0.08571803475808584;0.023421052631578964;0.9323310559621579
$u_{1, z}$;0.11796417283557889;0.020263157894736844;0.8877420478774285
$u_{1, \tau}$;0.07042441442867481;0.024342105263157887;0.9736992847893431
$u_{1, s_v}$;0.2499104647938328;0.02565789473684213;0.025206733988052732
$u_{2, v}$;0.16318275763231338;0.02223684210526311;0.6911177786156361
$u_{2, a}$;0.08728062552121063;0.02815789473684213;0.9463689650525959
$u_{2, z}$;0.12013723684334315;0.021710526315789513;0.8820349271289116
$u_{2, \tau}$;0.0743626425347003;0.018815789473684216;0.9677458291596033
$u_1:u_{2, v}$;0.1865284635474304;0.020131578947368445;0.47575680762361117
$u_1:u_{2, a}$;0.13896685589220714;0.019473684210526337;0.8464954666151532
$u_1:u_{2, z}$;0.16384301277888866;0.059078947368421036;0.7111379786507979
