;NRMSE;Calibration Error;Posterior Contraction
$v$;0.11516938377410144;0.009868421052631582;0.8592997272617725
$a$;0.08634848489369615;0.036973684210526325;0.9361499273773599
$z$;0.08613665258851985;0.01473684210526316;0.9409751673938784
$\tau$;0.0897465207826372;0.007105263157894753;0.9548504916539069
$s_v$;0.2248875523433394;0.01407894736842108;0.18322191497129914
$s_\tau$;0.07840702426005243;0.01789473684210528;0.9671422504297003
$u_{1, v}$;0.14299250486299414;0.008684210526315822;0.7770415446190713
$u_{1, a}$;0.08631717530091519;0.03250000000000003;0.9558955133287954
$u_{1, z}$;0.1070596838546274;0.008026315789473715;0.9164980560308433
$u_{1, \tau}$;0.059029713649192184;0.01802631578947364;0.9859798525746025
$u_{1, s_v}$;0.22775136158537573;0.012368421052631584;0.2774977266211058
$u_{2, v}$;0.1393989513638363;0.03828947368421057;0.8118010250174126
$u_{2, a}$;0.08688300404332858;0.010921052631578942;0.9616660489626963
$u_{2, z}$;0.10146571679443296;0.016315789473684228;0.9249850108816114
$u_{2, \tau}$;0.06966105836884752;0.02184210526315783;0.9832713175878637
$u_1:u_{2, v}$;0.16450229384645493;0.012631578947368383;0.569238452382669
$u_1:u_{2, a}$;0.11992590784009133;0.01736842105263159;0.8865229662021306
$u_1:u_{2, z}$;0.12261081292978823;0.008289473684210513;0.8649014034768024
