,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1559748649597168,0.6832060813903809,0.028815789473684184
$a$,0.11248674988746643,0.8394008874893188,0.011578947368421025
$z$,0.1027919352054596,0.8403784036636353,0.05065789473684204
$\tau$,0.12516504526138306,0.7877615690231323,0.02013157894736836
$s_v$,0.2541375160217285,0.05046418309211731,0.021842105263157857
$s_\tau$,0.1975550651550293,0.4886171817779541,0.052368421052631564
$v$ -- $u_1$ | $c_{1}$,0.18072113394737244,0.5747944116592407,0.03223684210526316
$a$ -- $u_1$ | $c_{1}$,0.10564464330673218,0.8572998642921448,0.03302631578947367
$z$ -- $u_1$ | $c_{1}$,0.1342749297618866,0.8045496940612793,0.008684210526315798
$\tau$ -- $u_1$ | $c_{1}$,0.09611283242702484,0.8703348636627197,0.09592105263157895
$s_v$ -- $u_1$ | $c_{1}$,0.27473628520965576,0.01420632004737854,0.031184210526315814
$v$ -- $u_2$ | $c_{1}$,0.2064867615699768,0.48110175132751465,0.01447368421052632
$a$ -- $u_2$ | $c_{1}$,0.11321893334388733,0.7973664999008179,0.015394736842105267
$z$ -- $u_2$ | $c_{1}$,0.1319323182106018,0.7357003092765808,0.026315789473684195
$\tau$ -- $u_2$ | $c_{1}$,0.101910799741745,0.8221392631530762,0.07026315789473683
$v$ -- $u_1:u_2$ | $c_{1}$,0.2548832297325134,0.03262147307395935,0.00842105263157894
$a$ -- $u_1:u_2$ | $c_{1}$,0.22635754942893982,0.21593087911605835,0.04184210526315792
$z$ -- $u_1:u_2$ | $c_{1}$,0.2848697900772095,0.29596683382987976,0.013026315789473678
