,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1162724569439888,0.7650140523910522,0.017631578947368415
$a$,0.09770460426807404,0.8488824963569641,0.04526315789473685
$z$,0.09664007276296616,0.8527631759643555,0.06013157894736837
$\tau$,0.0985313206911087,0.867918848991394,0.009342105263157888
$s_v$,0.20951244235038757,0.171260803937912,0.01671052631578949
$s_\tau$,0.14890609681606293,0.6219401955604553,0.08565789473684207
$v$ -- $u_1$ | $c_{1}$,0.16217979788780212,0.5883316993713379,0.046973684210526334
$a$ -- $u_1$ | $c_{1}$,0.09198424220085144,0.8856788873672485,0.0531578947368421
$z$ -- $u_1$ | $c_{1}$,0.10908905416727066,0.8577215671539307,0.04973684210526311
$\tau$ -- $u_1$ | $c_{1}$,0.07266560196876526,0.9521399736404419,0.08039473684210527
$s_v$ -- $u_1$ | $c_{1}$,0.2357858270406723,0.17549079656600952,0.01973684210526316
$v$ -- $u_2$ | $c_{1}$,0.1345740556716919,0.6449670791625977,0.0517105263157894
$a$ -- $u_2$ | $c_{1}$,0.07979319989681244,0.9055331945419312,0.07144736842105262
$z$ -- $u_2$ | $c_{1}$,0.10405749082565308,0.8246182203292847,0.0743421052631579
$\tau$ -- $u_2$ | $c_{1}$,0.05733800679445267,0.9514042139053345,0.06302631578947365
$v$ -- $u_1:u_2$ | $c_{1}$,0.21567215025424957,0.34266528487205505,0.016710526315789467
$a$ -- $u_1:u_2$ | $c_{1}$,0.1406087875366211,0.7224456071853638,0.03881578947368419
$z$ -- $u_1:u_2$ | $c_{1}$,0.11907672882080078,0.639750599861145,0.012894736842105264
