,NRMSE,Posterior Contraction,Calibration Error
$v$,0.07832610825260936,0.9198524799433538,0.01671052631578951
$v_\theta$,0.049585067411398426,0.9762911722197026,0.016315789473684172
$a$,0.043232241091472334,0.9733580922866332,0.03578947368421055
$\tau$,0.05452108060404554,0.9720788998526058,0.022894736842105273
$s_v$,0.26171164874571173,0.07818176547903971,0.034605263157894764
$s_\tau$,0.06545957051470631,0.9663868303547707,0.04394736842105265
$v$ -- $u_1$ | $c_{1}$,0.08692016850721955,0.9150214528954663,0.017631578947368443
$v_\theta$ -- $u_1$ | $c_{1}$,0.05647762888100641,0.9848380912059689,0.024605263157894713
$a$ -- $u_1$ | $c_{1}$,0.04113143474482041,0.9838478274447557,0.015789473684210548
$\tau$ -- $u_1$ | $c_{1}$,0.03233622812609408,0.993340205790921,0.04000000000000001
$s_v$ -- $u_1$ | $c_{1}$,0.20083963046445874,0.44886809459838495,0.015131578947368413
$v$ -- $u_2$ | $c_{1}$,0.07297078661754944,0.9398065008621199,0.015000000000000027
$v_\theta$ -- $u_2$ | $c_{1}$,0.0657826332820233,0.9839098944474006,0.05697368421052629
$a$ -- $u_2$ | $c_{1}$,0.030685433797842387,0.9884285881851456,0.03921052631578949
$\tau$ -- $u_2$ | $c_{1}$,0.034969096729287025,0.9919344647110834,0.022368421052631593
$v$ -- $u_1:u_2$ | $c_{1}$,0.11587532520289165,0.8654842234356047,0.01657894736842104
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.11086628915916151,0.9577984983642649,0.01342105263157889
$a$ -- $u_1:u_2$ | $c_{1}$,0.06816513774608587,0.9695409712690939,0.028815789473684184
