,NRMSE,Posterior Contraction,Calibration Error
$v$,0.057222325231307034,0.9465306531695656,0.01302631578947372
$v_\theta$,0.02428191815959946,0.9944343982006364,0.022236842105263124
$a$,0.04144249317832697,0.9814709722748847,0.03210526315789475
$\tau$,0.026970695711711092,0.9952221495637387,0.013815789473684212
$s_v$,0.230734152841841,0.29000652620754447,0.010131578947368436
$s_\tau$,0.06857217965156875,0.9774441394320779,0.018289473684210494
$v$ -- $u_1$ | $c_{1}$,0.06493572153906282,0.9574652706149909,0.025789473684210543
$a$ -- $u_1$ | $c_{1}$,0.019552922889078152,0.9949106338275309,0.014078947368421052
$v$ -- $u_2$ | $c_{1}$,0.06999129905220489,0.9636625412789948,0.021973684210526284
$a$ -- $u_2$ | $c_{1}$,0.020950145356162166,0.9949561649115171,0.01184210526315788
