,NRMSE,Posterior Contraction,Calibration Error
$v$,0.21482799094347782,0.5367016679044478,0.026052631578947397
$v_{\mathrm{diff}}$,0.14913707464639703,0.6874914937720804,0.05026315789473684
$a$,0.08879953320237909,0.8488158710222562,0.014342105263157923
$\tau$,0.048814346844101304,0.9629024746669368,0.034473684210526295
$s_v$,0.1681957509883683,0.24918013836623465,0.006842105263157896
$s_\tau$,0.06732846561302439,0.9616057520149485,0.039078947368421046
$v$ -- $u_1$ | $c_{1}$,0.1381716085780068,0.7460171664264852,0.03223684210526319
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.11426101329665414,0.8348439916695212,0.021315789473684232
$a$ -- $u_1$ | $c_{1}$,0.07247082854071525,0.9388475492517483,0.01578947368421052
$\tau$ -- $u_1$ | $c_{1}$,0.035780053734674536,0.9891477869651142,0.04263157894736841
$s_v$ -- $u_1$ | $c_{1}$,0.18684676980366038,0.4162305758190297,0.031315789473684214
$v$ -- $u_2$ | $c_{1}$,0.15824439766973453,0.7533068811887158,0.016315789473684172
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.12556972125317986,0.8296941029000978,0.0635526315789474
$a$ -- $u_2$ | $c_{1}$,0.07173238072645075,0.9503473971989054,0.011710526315789421
$\tau$ -- $u_2$ | $c_{1}$,0.041400864325382314,0.9878493355720169,0.04526315789473684
$v$ -- $u_1:u_2$ | $c_{1}$,0.19762002381901111,0.5488884149795848,0.02592105263157897
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.13367394396688045,0.7356897730009592,0.024342105263157915
$a$ -- $u_1:u_2$ | $c_{1}$,0.07328295840769229,0.9240324979917319,0.010394736842105234
