,C2ST Accuracy
$v$,0.5101125000000001
$v_\theta$,0.5033125
$a$,0.5145875000000001
$\tau$,0.5120875
$s_v$,0.5117999999999999
$s_\tau$,0.5150375
$v$ -- $u_1$ | $c_{1}$,0.522375
$v_\theta$ -- $u_1$ | $c_{1}$,0.5032
$a$ -- $u_1$ | $c_{1}$,0.5185124999999999
$\tau$ -- $u_1$ | $c_{1}$,0.5159125
$s_v$ -- $u_1$ | $c_{1}$,0.5203374999999999
$v$ -- $u_2$ | $c_{1}$,0.5198500000000001
$v_\theta$ -- $u_2$ | $c_{1}$,0.5130250000000001
$a$ -- $u_2$ | $c_{1}$,0.51895
$\tau$ -- $u_2$ | $c_{1}$,0.52155
$v$ -- $u_1:u_2$ | $c_{1}$,0.5165875
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.5132125000000001
$a$ -- $u_1:u_2$ | $c_{1}$,0.5215500000000001
_mean_accuracy_,0.5151111111111111
_joint_c2st_,0.8506124999999999
