,NRMSE,Posterior Contraction,Calibration Error
$v$,0.11231334507465363,0.8258156776428223,0.021447368421052642
$a$,0.08124116063117981,0.9250103831291199,0.022631578947368416
$z$,0.06954312324523926,0.9366233348846436,0.01236842105263164
$\tau$,0.08144325017929077,0.9440510272979736,0.05368421052631582
$s_v$,0.22457656264305115,0.33361804485321045,0.03618421052631576
$s_\tau$,0.09796594828367233,0.8996928930282593,0.02749999999999994
$v$ -- $u_1$ | $c_{1}$,0.0976715236902237,0.8182117938995361,0.01460526315789476
$a$ -- $u_1$ | $c_{1}$,0.06938737630844116,0.9538942575454712,0.03065789473684209
$z$ -- $u_1$ | $c_{1}$,0.08505270630121231,0.9158064126968384,0.008289473684210513
$\tau$ -- $u_1$ | $c_{1}$,0.05804704129695892,0.9868520498275757,0.017763157894736814
$s_v$ -- $u_1$ | $c_{1}$,0.19751298427581787,0.24275702238082886,0.013947368421052653
$v$ -- $u_2$ | $c_{1}$,0.1205277293920517,0.7657570838928223,0.028684210526315784
$a$ -- $u_2$ | $c_{1}$,0.048687614500522614,0.9618203639984131,0.031184210526315786
$z$ -- $u_2$ | $c_{1}$,0.08072347939014435,0.9180724620819092,0.025394736842105258
$\tau$ -- $u_2$ | $c_{1}$,0.05573362857103348,0.9857061505317688,0.01039473684210529
$v$ -- $u_1:u_2$ | $c_{1}$,0.1931217461824417,0.5076100826263428,0.037500000000000006
$a$ -- $u_1:u_2$ | $c_{1}$,0.10631193965673447,0.845036506652832,0.024736842105263085
$z$ -- $u_1:u_2$ | $c_{1}$,0.11665304005146027,0.8357727527618408,0.01921052631578947
