,NRMSE,Posterior Contraction,Calibration Error
$v$,0.5896917581558228,0.0,0.1771052631578947
$v_\theta$,0.44174957275390625,0.0,0.2031578947368421
$a$,0.7674030065536499,0.0,0.07296052631578948
$\tau$,0.7023289203643799,0.0,0.33342105263157895
$s_v$,0.7689988613128662,0.0,0.31250000000000006
$s_\tau$,0.7036988735198975,0.0,0.43750000000000006
$v$ -- $u_1$ | $c_{1}$,0.36212682723999023,0.036692798137664795,0.083421052631579
$v_\theta$ -- $u_1$ | $c_{1}$,0.3261886537075043,0.5337332487106323,0.05203947368421051
$a$ -- $u_1$ | $c_{1}$,0.3895125389099121,0.0,0.12513157894736843
$\tau$ -- $u_1$ | $c_{1}$,0.3224530518054962,0.08586657047271729,0.04164473684210526
$s_v$ -- $u_1$ | $c_{1}$,0.29573529958724976,0.3525504171848297,0.04690789473684212
$v$ -- $u_2$ | $c_{1}$,0.36410456895828247,0.0,0.04151315789473682
$v_\theta$ -- $u_2$ | $c_{1}$,0.42316514253616333,0.16285037994384766,0.08861842105263161
$a$ -- $u_2$ | $c_{1}$,0.3442474603652954,0.001329869031906128,0.05210526315789471
$\tau$ -- $u_2$ | $c_{1}$,0.4379690885543823,0.12085533142089844,0.1666447368421053
$v$ -- $u_1:u_2$ | $c_{1}$,0.3963751196861267,0.0,0.03638157894736839
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.5026806592941284,0.0,0.08328947368421052
$a$ -- $u_1:u_2$ | $c_{1}$,0.40606367588043213,0.4023548364639282,0.22921052631578948
