,NRMSE,Posterior Contraction,Calibration Error
$v$,0.5973920822143555,0.0,0.3073026315789474
$v_\theta$,0.6038947105407715,0.0,0.015789473684210548
$a$,0.46689334511756897,0.0,0.10414473684210526
$\tau$,0.9794936180114746,0.0,0.32309210526315796
$s_v$,0.6597993969917297,0.0,0.07296052631578948
$s_\tau$,0.6594172716140747,0.0,0.43750000000000006
$v$ -- $u_1$ | $c_{1}$,0.4168671667575836,0.0,0.05736842105263157
$a$ -- $u_1$ | $c_{1}$,0.2781616449356079,0.2589739263057709,0.17190789473684215
$v$ -- $u_2$ | $c_{1}$,0.4069681167602539,0.0914945900440216,0.13546052631578953
$a$ -- $u_2$ | $c_{1}$,0.3293851912021637,0.16125673055648804,0.06769736842105264
