,NRMSE,Posterior Contraction,Calibration Error
$v$,0.5512716174125671,0.0,0.15625000000000006
$a$,0.5953782200813293,0.0,0.05723684210526314
$z$,0.45432746410369873,0.0,0.09381578947368424
$\tau$,0.8464112281799316,0.0,0.3959868421052632
$v$ -- $u_1$ | $c_{1}$,0.30602431297302246,0.6013814210891724,0.09388157894736841
$a$ -- $u_1$ | $c_{1}$,0.40401363372802734,0.2141985297203064,0.17197368421052633
$z$ -- $u_1$ | $c_{1}$,0.4271746873855591,0.0,0.15105263157894738
$v$ -- $u_2$ | $c_{1}$,0.35143154859542847,0.44525766372680664,0.23447368421052633
$a$ -- $u_2$ | $c_{1}$,0.42776864767074585,0.0,0.04684210526315791
$z$ -- $u_2$ | $c_{1}$,0.49092400074005127,0.0,0.036381578947368376
