,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.11997441947460175,0.802807092666626,0.016842105263157908,1.1879292904710468
$a$,0.08850657939910889,0.9029318690299988,0.018289473684210522,1.8456703416691844
$z$,0.08469757437705994,0.9098619222640991,0.024736842105263175,-1.197225239091285
$\tau$,0.08355309814214706,0.9192346930503845,0.010789473684210515,-2.981439506399133
$s_v$,0.17828281223773956,0.43503162264823914,0.05723684210526317,2.843318839380306
$s_\tau$,0.16041463613510132,0.7156890630722046,0.01092105263157897,2.617786837347422
$v$ -- $u_1$ | $c_{1}$,0.1366298645734787,0.7329349517822266,0.009342105263157874,5.1310070185417
$a$ -- $u_1$ | $c_{1}$,0.06625689566135406,0.9444488286972046,0.01789473684210524,3.7954607194386116
$z$ -- $u_1$ | $c_{1}$,0.07868167012929916,0.9058982729911804,0.010657894736842144,4.1228543383661584
$\tau$ -- $u_1$ | $c_{1}$,0.07727877795696259,0.9726436138153076,0.02105263157894735,2.307243429060654
$s_v$ -- $u_1$ | $c_{1}$,0.22740709781646729,0.23385903239250183,0.010657894736842088,4.344013339404897
$s_\tau$ -- $u_1$ | $c_{1}$,0.131867915391922,0.7923159599304199,0.008552631578947395,2.7828003281292726
$v$ -- $u_2$ | $c_{1}$,0.13872790336608887,0.7382128238677979,0.022894736842105273,-1.752491368351052
$a$ -- $u_2$ | $c_{1}$,0.0731094479560852,0.9346088171005249,0.06197368421052629,1.4262269548963502
$z$ -- $u_2$ | $c_{1}$,0.10737612098455429,0.8842370510101318,0.010526315789473661,3.8908475816735173
$\tau$ -- $u_2$ | $c_{1}$,0.06380195170640945,0.9629145860671997,0.008421052631578968,2.7828003281292726
$s_v$ -- $u_2$ | $c_{1}$,0.25535571575164795,0.0772753655910492,0.014342105263157906,2.809607157081359
$s_\tau$ -- $u_2$ | $c_{1}$,0.14506447315216064,0.7505409717559814,0.013684210526315771,3.79546071943862
$v$ -- $u_1:u_2$ | $c_{1}$,0.21191304922103882,0.5062980651855469,0.013552631578947372,2.6693007134814373
$a$ -- $u_1:u_2$ | $c_{1}$,0.1422497034072876,0.7672693729400635,0.03039473684210526,3.6813067249964155
$z$ -- $u_1:u_2$ | $c_{1}$,0.1507931798696518,0.7287038564682007,0.020657894736842097,2.655168539660853
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.09390027821063995,0.9319802522659302,0.03986842105263158,3.5208759364713527
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.2618170380592346,0.038844555616378784,0.015526315789473666,2.806633079619965
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.19310301542282104,0.6247103214263916,0.011710526315789449,3.5736097019150788
