,NRMSE,Posterior Contraction,Calibration Error
$v$,1.0484702587127686,0.0,0.18750000000000006
$a$,0.7035829424858093,0.0,0.15105263157894738
$z$,0.5022708773612976,0.0,0.04164473684210526
$\tau$,1.078841209411621,0.0,0.25526315789473686
$s_v$,0.9576352834701538,0.0,0.36467105263157895
$s_\tau$,0.6957083344459534,0.0,0.28125000000000006
$v$ -- $u_1$ | $c_{1}$,0.40386056900024414,0.10781276226043701,0.21868421052631581
$a$ -- $u_1$ | $c_{1}$,0.3959617018699646,0.0,0.04690789473684209
$z$ -- $u_1$ | $c_{1}$,0.48495203256607056,0.2052845060825348,0.17710526315789477
$\tau$ -- $u_1$ | $c_{1}$,0.36473220586776733,0.3346187174320221,0.09381578947368424
$s_v$ -- $u_1$ | $c_{1}$,0.32477033138275146,0.3204944133758545,0.14072368421052633
$v$ -- $u_2$ | $c_{1}$,0.3342180848121643,0.3871580958366394,0.07815789473684215
$a$ -- $u_2$ | $c_{1}$,0.35790321230888367,0.27338746190071106,0.08861842105263161
$z$ -- $u_2$ | $c_{1}$,0.33445465564727783,0.30297932028770447,0.11467105263157895
$\tau$ -- $u_2$ | $c_{1}$,0.39957356452941895,0.22500556707382202,0.07302631578947368
$v$ -- $u_1:u_2$ | $c_{1}$,0.5088240504264832,0.0,0.07296052631578948
$a$ -- $u_1:u_2$ | $c_{1}$,0.4916952848434448,0.0,0.18236842105263162
$z$ -- $u_1:u_2$ | $c_{1}$,0.44378069043159485,0.06272745132446289,0.18230263157894738
