,NRMSE,Posterior Contraction,Calibration Error
$v$,0.5876739025115967,0.0,0.17703947368421052
$a$,0.7315273880958557,0.0,0.05743421052631581
$z$,0.3636137843132019,0.20014744997024536,0.07828947368421055
$\tau$,0.7478204965591431,0.0,0.3854605263157895
$s_v$,0.7342448234558105,0.0,0.23960526315789477
$s_\tau$,0.7960910797119141,0.0,0.3698026315789474
$v$ -- $u_1$ | $c_{1}$,0.39994215965270996,0.2649172842502594,0.09381578947368421
$a$ -- $u_1$ | $c_{1}$,0.4651190936565399,0.0,0.06263157894736843
$z$ -- $u_1$ | $c_{1}$,0.3631622791290283,0.0,0.051973684210526325
$v$ -- $u_2$ | $c_{1}$,0.3477473258972168,0.13660657405853271,0.10414473684210529
$a$ -- $u_2$ | $c_{1}$,0.36987870931625366,0.4208109974861145,0.26572368421052633
$z$ -- $u_2$ | $c_{1}$,0.4623245298862457,0.04443952441215515,0.26565789473684215
