,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1002536416053772,0.8524664640426636,0.011842105263157893
$a$,0.07437556236982346,0.950110912322998,0.024210526315789474
$z$,0.06961704790592194,0.9210317730903625,0.011184210526315796
$\tau$,0.05665387213230133,0.9668125510215759,0.031842105263157866
$v$ -- $u_1$ | $c_{1}$,0.12440813332796097,0.8307613730430603,0.04565789473684209
$a$ -- $u_1$ | $c_{1}$,0.04455558955669403,0.9788280129432678,0.010131578947368436
$z$ -- $u_1$ | $c_{1}$,0.08501454442739487,0.9322237372398376,0.014342105263157878
$v$ -- $u_2$ | $c_{1}$,0.11863577365875244,0.8455613851547241,0.0259210526315789
$a$ -- $u_2$ | $c_{1}$,0.04674296826124191,0.9751617908477783,0.041710526315789476
$z$ -- $u_2$ | $c_{1}$,0.06684498488903046,0.9398202300071716,0.02842105263157894
