,NRMSE,Posterior Contraction,Calibration Error
$v$,0.592150092124939,0.0,0.08322368421052634
$v_{\mathrm{diff}}$,0.5679235458374023,0.0,0.08861842105263161
$a$,0.46748659014701843,0.0,0.041644736842105234
$\tau$,1.1173222064971924,0.0,0.25526315789473686
$s_v$,0.9326270222663879,0.0,0.18230263157894738
$s_\tau$,0.7628850340843201,0.0,0.37500000000000006
$v$ -- $u_1$ | $c_{1}$,0.39875537157058716,0.0,0.04684210526315791
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.2881229817867279,0.6015048027038574,0.15625000000000006
$a$ -- $u_1$ | $c_{1}$,0.3113083839416504,0.46408626437187195,0.15105263157894738
$\tau$ -- $u_1$ | $c_{1}$,0.4449321925640106,0.2183835208415985,0.1666447368421053
$s_v$ -- $u_1$ | $c_{1}$,0.29319530725479126,0.5595781803131104,0.0782236842105263
$v$ -- $u_2$ | $c_{1}$,0.3422306180000305,0.28489241003990173,0.05723684210526314
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.36833012104034424,0.5292073488235474,0.3073026315789474
$a$ -- $u_2$ | $c_{1}$,0.4054730534553528,0.292587012052536,0.14072368421052633
$\tau$ -- $u_2$ | $c_{1}$,0.39485710859298706,0.4476299583911896,0.12500000000000003
$v$ -- $u_1:u_2$ | $c_{1}$,0.4169701039791107,0.19377243518829346,0.19782894736842108
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.3901895582675934,0.45074835419654846,0.2657236842105264
$a$ -- $u_1:u_2$ | $c_{1}$,0.3448846638202667,0.20447880029678345,0.13546052631578948
