,NRMSE,Posterior Contraction,Calibration Error
$v$,0.14342759549617767,0.6384381651878357,0.0203947368421053
$v_{\mathrm{diff}}$,0.14179369807243347,0.5880004167556763,0.042763157894736836
$a$,0.09865059703588486,0.8738440275192261,0.01881578947368419
$\tau$,0.03841671347618103,0.9799744486808777,0.029078947368421038
$s_v$,0.25891387462615967,0.20580941438674927,0.0163157894736842
$s_\tau$,0.1009531021118164,0.9201438426971436,0.1403947368421053
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.09865313023328781,0.873799204826355,0.04513157894736847
$a$ -- $u_1$ | $c_{1}$,0.035764679312705994,0.986809253692627,0.034868421052631604
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.09475970268249512,0.8720053434371948,0.07934210526315791
$a$ -- $u_2$ | $c_{1}$,0.03294146806001663,0.9876121878623962,0.031184210526315814
