,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.08379426749597102,0.9205288636604869,0.014473684210526333,2.941189343995342
$v_\theta$,0.11288240236156113,0.8276274406493385,0.030263157894736825,2.8585772376344183
$a$,0.04875235758600589,0.9639073441429029,0.029473684210526346,2.934071168041331
$\tau$,0.058428926074546944,0.9694462725034135,0.01578947368421052,-2.013294971621623
$s_v$,0.2591743815334001,0.08888040156584787,0.017631578947368443,3.2727936177604082
$s_\tau$,0.13167979493176304,0.7870063858536099,0.025789473684210473,1.9416436740456884
$v$ -- $u_1$ | $c_{1}$,0.07299446662823608,0.9043688077743909,0.012763157894736837,3.1650494373721725
$v_\theta$ -- $u_1$ | $c_{1}$,0.08240401017595948,0.9011291865665976,0.03881578947368422,1.577666099735011
$a$ -- $u_1$ | $c_{1}$,0.04280141438804287,0.9724715226080052,0.0094736842105263,1.0233653763256354
$\tau$ -- $u_1$ | $c_{1}$,0.04748593980217497,0.9808671959145014,0.07078947368421046,1.4011955670253897
$s_v$ -- $u_1$ | $c_{1}$,0.20587109491803895,0.3363508498172526,0.030131578947368454,0.500487381666035
$s_\tau$ -- $u_1$ | $c_{1}$,0.119616702242344,0.8834821585804126,0.02644736842105261,3.5420698604018996
$v$ -- $u_2$ | $c_{1}$,0.0805286126789862,0.904909294846262,0.01315789473684209,3.1320825141564628
$v_\theta$ -- $u_2$ | $c_{1}$,0.10228052636623938,0.8876470744885908,0.01881578947368423,3.213121587246554
$a$ -- $u_2$ | $c_{1}$,0.05701563059167668,0.9739542183996592,0.016973684210526307,1.8382601619847012
$\tau$ -- $u_2$ | $c_{1}$,0.062131481201312046,0.9858173405620386,0.009736842105263169,4.066030722270955
$s_v$ -- $u_2$ | $c_{1}$,0.1976783679633895,0.33699917183189415,0.01013157894736843,0.9175955211532413
$s_\tau$ -- $u_2$ | $c_{1}$,0.09570979949306319,0.8892172433272348,0.039342105263157845,-0.1556917973540225
$v$ -- $u_1:u_2$ | $c_{1}$,0.12004777144954168,0.8372009053022756,0.014210526315789479,3.85526837212346
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.13912849872938188,0.7815792440359162,0.009342105263157874,2.9769777040919108
$a$ -- $u_1:u_2$ | $c_{1}$,0.08918599777054584,0.9399948714401862,0.010657894736842144,4.684902071282601
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.06893044152940644,0.9673377514569137,0.015394736842105294,2.315755792661228
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.2590373609833826,0.19338611338511769,0.013289473684210573,1.223413737976465
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.14404715921521458,0.8206269581633708,0.01513157894736844,3.8552683721234486
