,NRMSE,Posterior Contraction,Calibration Error
$v$,0.13951203378200572,0.7602644346509941,0.018947368421052657
$v_{\mathrm{diff}}$,0.11699322306326704,0.7798513195922094,0.0351315789473684
$a$,0.08587815022978729,0.939747413518022,0.01460526315789476
$\tau$,0.035808006864332276,0.992407470701743,0.013421052631578962
$s_v$,0.21273745881469586,0.3407500301193053,0.028289473684210503
$s_\tau$,0.09736294120305854,0.9684563562794277,0.025921052631578942
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.09945054452873581,0.9171901403148075,0.02881578947368421
$a$ -- $u_1$ | $c_{1}$,0.022457904258428422,0.9928435736630751,0.014605263157894732
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.09155892888918814,0.9363493516414074,0.03407894736842103
$a$ -- $u_2$ | $c_{1}$,0.030331363719087276,0.9924556364509278,0.04092105263157897
