,NRMSE,Posterior Contraction,Calibration Error
$v$,0.06003556400537491,0.9371747374534607,0.01302631578947372
$v_\theta$,0.02629675716161728,0.9927919507026672,0.03644736842105263
$a$,0.0476287305355072,0.9746485948562622,0.013552631578947372
$\tau$,0.03221115842461586,0.9897819757461548,0.0323684210526316
$s_v$,0.24071286618709564,0.2519126832485199,0.013289473684210545
$s_\tau$,0.08441276848316193,0.9617682099342346,0.02578947368421053
$v$ -- $u_1$ | $c_{1}$,0.07475612312555313,0.9423654079437256,0.02618421052631581
$a$ -- $u_1$ | $c_{1}$,0.0253261961042881,0.9937649369239807,0.04184210526315796
$v$ -- $u_2$ | $c_{1}$,0.08284948021173477,0.946547269821167,0.02697368421052629
$a$ -- $u_2$ | $c_{1}$,0.02650267444550991,0.9933134317398071,0.03894736842105262
