,NRMSE,Posterior Contraction,Calibration Error
$v$,0.5683194994926453,0.0,0.29697368421052633
$a$,0.6671690344810486,0.0,0.19276315789473686
$z$,0.503250002861023,0.0,0.046776315789473694
$\tau$,1.2334682941436768,0.0,0.21875
$\pi$,1.9742331504821777,0.0,0.10414473684210523
$v$ -- $u_1$ | $c_{1}$,0.37551620602607727,0.0,0.08342105263157895
$a$ -- $u_1$ | $c_{1}$,0.4082377552986145,0.0,0.08848684210526314
$z$ -- $u_1$ | $c_{1}$,0.37643152475357056,0.2826235592365265,0.15631578947368424
$v$ -- $u_2$ | $c_{1}$,0.3624011278152466,0.2447451651096344,0.10407894736842106
$a$ -- $u_2$ | $c_{1}$,0.40943801403045654,0.01607033610343933,0.06756578947368423
$z$ -- $u_2$ | $c_{1}$,0.4677094519138336,0.0,0.03644736842105262
