,NRMSE,Posterior Contraction,Calibration Error
$v$,0.5578627586364746,0.0,0.2968421052631579
$a$,1.2440452575683594,0.0,0.08328947368421052
$z$,0.45186156034469604,0.0,0.07296052631578948
$\tau$,1.091083288192749,0.0,0.21875000000000006
$s_v$,0.5593738555908203,0.0,0.17717105263157895
$s_\tau$,0.7072416543960571,0.0,0.25526315789473686
$\pi$,3.8620729446411133,0.0,0.21368421052631578
$v$ -- $u_1$ | $c_{1}$,0.4125927686691284,0.10539847612380981,0.11993421052631581
$a$ -- $u_1$ | $c_{1}$,0.44169291853904724,0.03725266456604004,0.10421052631578948
$z$ -- $u_1$ | $c_{1}$,0.8048460483551025,0.0,0.05203947368421051
$\tau$ -- $u_1$ | $c_{1}$,0.5771677494049072,0.0,0.052039473684210524
$s_v$ -- $u_1$ | $c_{1}$,0.4553036391735077,0.0,0.15625
$v$ -- $u_2$ | $c_{1}$,0.38546478748321533,0.5118786692619324,0.25526315789473686
$a$ -- $u_2$ | $c_{1}$,0.4265505075454712,0.02529779076576233,0.06269736842105267
$z$ -- $u_2$ | $c_{1}$,0.43237265944480896,0.0,0.04690789473684209
$\tau$ -- $u_2$ | $c_{1}$,0.5397184491157532,0.0,0.11460526315789471
$v$ -- $u_1:u_2$ | $c_{1}$,0.3364325165748596,0.0,0.11980263157894738
$a$ -- $u_1:u_2$ | $c_{1}$,0.5234124064445496,0.0,0.031315789473684186
$z$ -- $u_1:u_2$ | $c_{1}$,0.42280587553977966,0.0,0.04690789473684209
