,NRMSE,Posterior Contraction,Calibration Error
$v$,0.44178321957588196,0.3478754162788391,0.43750000000000006
$a$,0.5327135920524597,0.0,0.04671052631578945
$z$,0.34933650493621826,0.0,0.16144736842105262
$\tau$,0.9832074642181396,0.0,0.036578947368421044
$s_v$,0.5368099212646484,0.0,0.15611842105263157
$s_\tau$,0.7532605528831482,0.0,0.25
$\pi$,3.9377808570861816,0.0,0.2396052631578947
$v$ -- $u_1$ | $c_{1}$,0.4626803994178772,0.005237191915512085,0.1719078947368421
$a$ -- $u_1$ | $c_{1}$,0.4234144687652588,0.0,0.08855263157894738
$z$ -- $u_1$ | $c_{1}$,0.4044603109359741,0.18587547540664673,0.09381578947368423
$v$ -- $u_2$ | $c_{1}$,0.4183337688446045,0.0,0.0782236842105263
$a$ -- $u_2$ | $c_{1}$,0.4006258547306061,0.17749837040901184,0.13032894736842104
$z$ -- $u_2$ | $c_{1}$,0.46168845891952515,0.0,0.12513157894736848
