,NRMSE,Posterior Contraction,Calibration Error
$v$,0.13108280301094055,0.7450401782989502,0.03289473684210523
$v_\theta$,0.10212191939353943,0.8894205093383789,0.02894736842105261
$a$,0.0851910188794136,0.9014867544174194,0.011315789473684251
$\tau$,0.10110067576169968,0.8894433975219727,0.035131578947368444
$s_v$,0.2827032208442688,0.0,0.029078947368421038
$s_\tau$,0.17078781127929688,0.5662069320678711,0.03289473684210523
$v$ -- $u_1$ | $c_{1}$,0.15307816863059998,0.6165944337844849,0.011315789473684223
$v_\theta$ -- $u_1$ | $c_{1}$,0.08313938230276108,0.9097875356674194,0.014342105263157892
$a$ -- $u_1$ | $c_{1}$,0.09457571059465408,0.907608151435852,0.013421052631578972
$\tau$ -- $u_1$ | $c_{1}$,0.06755517423152924,0.9510513544082642,0.047763157894736785
$s_v$ -- $u_1$ | $c_{1}$,0.23936599493026733,0.16049662232398987,0.029078947368421093
$v$ -- $u_2$ | $c_{1}$,0.1379401832818985,0.6027566194534302,0.029736842105263173
$v_\theta$ -- $u_2$ | $c_{1}$,0.12867248058319092,0.8532472252845764,0.08552631578947367
$a$ -- $u_2$ | $c_{1}$,0.0848216563463211,0.8938090801239014,0.013289473684210532
$\tau$ -- $u_2$ | $c_{1}$,0.08306153118610382,0.9244903326034546,0.031315789473684214
$v$ -- $u_1:u_2$ | $c_{1}$,0.2260667383670807,0.02157953381538391,0.01855263157894736
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.18611542880535126,0.438327819108963,0.05447368421052634
$a$ -- $u_1:u_2$ | $c_{1}$,0.16885977983474731,0.7066205143928528,0.006973684210526354
