,NRMSE,Posterior Contraction,Calibration Error
$v$,0.07564517855644226,0.8884936571121216,0.040526315789473674
$v_\theta$,0.04435795173048973,0.9731316566467285,0.018157894736842095
$a$,0.07243514060974121,0.932975172996521,0.03894736842105259
$\tau$,0.057905517518520355,0.9542336463928223,0.036973684210526325
$s_v$,0.2691837549209595,0.03778395056724548,0.01302631578947372
$s_\tau$,0.14180722832679749,0.7276464104652405,0.047631578947368414
$v$ -- $u_1$ | $c_{1}$,0.10199281573295593,0.8295158743858337,0.060263157894736824
$a$ -- $u_1$ | $c_{1}$,0.03894433379173279,0.9758713841438293,0.055526315789473674
$v$ -- $u_2$ | $c_{1}$,0.12044595181941986,0.8116936683654785,0.09578947368421048
$a$ -- $u_2$ | $c_{1}$,0.05507148057222366,0.969893217086792,0.019078947368421084
