,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10450906306505203,0.836590051651001,0.022368421052631482
$a$,0.08105095475912094,0.904288649559021,0.019999999999999962
$z$,0.10118331015110016,0.9021158218383789,0.03223684210526312
$\tau$,0.07710342109203339,0.9061124920845032,0.031052631578947387
$v$ -- $u_1$ | $c_{1}$,0.14098158478736877,0.7138159871101379,0.01921052631578947
$a$ -- $u_1$ | $c_{1}$,0.06582461297512054,0.9360255002975464,0.02657894736842102
$z$ -- $u_1$ | $c_{1}$,0.10604509711265564,0.8455840349197388,0.06934210526315793
$v$ -- $u_2$ | $c_{1}$,0.15553006529808044,0.6235017776489258,0.02802631578947362
$a$ -- $u_2$ | $c_{1}$,0.07875850796699524,0.9163368940353394,0.013684210526315799
$z$ -- $u_2$ | $c_{1}$,0.12070420384407043,0.823153555393219,0.022631578947368416
