,NRMSE,Posterior Contraction,Calibration Error
$v$,0.12442350387573242,0.7567996978759766,0.016578947368421082
$a$,0.10414674133062363,0.8898459672927856,0.03013157894736846
$z$,0.09036215394735336,0.8972760438919067,0.026710526315789462
$\tau$,0.1102532297372818,0.8683382868766785,0.023026315789473673
$s_v$,0.21807491779327393,0.2870955765247345,0.014078947368421052
$s_\tau$,0.12463350594043732,0.6150830388069153,0.019868421052631563
$v$ -- $u_1$ | $c_{1}$,0.16448667645454407,0.6356768608093262,0.0094736842105263
$a$ -- $u_1$ | $c_{1}$,0.08450384438037872,0.8935866355895996,0.010131578947368408
$z$ -- $u_1$ | $c_{1}$,0.10001824051141739,0.8190304040908813,0.016447368421052613
$\tau$ -- $u_1$ | $c_{1}$,0.09226006269454956,0.9411622285842896,0.018289473684210522
$s_v$ -- $u_1$ | $c_{1}$,0.26498112082481384,0.1345459520816803,0.020789473684210524
$v$ -- $u_2$ | $c_{1}$,0.16741648316383362,0.6249290108680725,0.015921052631578933
$a$ -- $u_2$ | $c_{1}$,0.10535828769207001,0.8252526521682739,0.011973684210526359
$z$ -- $u_2$ | $c_{1}$,0.117654949426651,0.7705580592155457,0.02407894736842109
$\tau$ -- $u_2$ | $c_{1}$,0.07142150402069092,0.9309403896331787,0.021973684210526367
$v$ -- $u_1:u_2$ | $c_{1}$,0.191981703042984,0.2575593888759613,0.010394736842105285
$a$ -- $u_1:u_2$ | $c_{1}$,0.1866823434829712,0.5596593618392944,0.019736842105263108
$z$ -- $u_1:u_2$ | $c_{1}$,0.18103119730949402,0.5202996730804443,0.01947368421052631
