,NRMSE,Posterior Contraction,Calibration Error
$v$,0.12854374945163727,0.769196093082428,0.010000000000000004
$a$,0.08992915600538254,0.8989363312721252,0.015921052631578947
$z$,0.07512924075126648,0.9220384359359741,0.0489473684210526
$\tau$,0.07374526560306549,0.9344720840454102,0.016710526315789398
$s_v$,0.22886109352111816,0.25677940249443054,0.01907894736842107
$s_\tau$,0.16561338305473328,0.5496759414672852,0.014210526315789455
$v$ -- $u_1$ | $c_{1}$,0.14424842596054077,0.667698860168457,0.0842105263157894
$a$ -- $u_1$ | $c_{1}$,0.08257181197404861,0.9267755746841431,0.013552631578947316
$z$ -- $u_1$ | $c_{1}$,0.0978526622056961,0.8889654278755188,0.01157894736842105
$v$ -- $u_2$ | $c_{1}$,0.12254968285560608,0.7093738317489624,0.09197368421052632
$a$ -- $u_2$ | $c_{1}$,0.09413893520832062,0.9207292795181274,0.014210526315789396
$z$ -- $u_2$ | $c_{1}$,0.09149762988090515,0.8234649300575256,0.011447368421052609
