,NRMSE,Posterior Contraction,Calibration Error
$v$,0.14389488101005554,0.6874872446060181,0.02368421052631578
$v_{\mathrm{diff}}$,0.13062119483947754,0.6495830416679382,0.042763157894736836
$a$,0.09888920187950134,0.8580151200294495,0.011578947368421078
$\tau$,0.04121704772114754,0.9810695648193359,0.03355263157894739
$s_v$,0.21917122602462769,0.21623319387435913,0.00921052631578946
$s_\tau$,0.09318211674690247,0.8973533511161804,0.1002631578947369
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.0898204818367958,0.8689762353897095,0.027763157894736823
$a$ -- $u_1$ | $c_{1}$,0.026601439341902733,0.988013744354248,0.034605263157894695
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.09459339827299118,0.8711178302764893,0.021447368421052604
$a$ -- $u_2$ | $c_{1}$,0.027277598157525063,0.9875579476356506,0.05421052631578946
