,NRMSE,Posterior Contraction,Calibration Error
$v$,0.24192997813224792,0.36671146750450134,0.012631578947368383
$v_{\mathrm{diff}}$,0.16692054271697998,0.589274525642395,0.010921052631578956
$a$,0.12425434589385986,0.7009263038635254,0.015394736842105239
$\tau$,0.07834786176681519,0.913581371307373,0.02026315789473684
$s_v$,0.18307864665985107,0.14269933104515076,0.008552631578947381
$s_\tau$,0.13166794180870056,0.6123914122581482,0.010921052631578942
$v$ -- $u_1$ | $c_{1}$,0.1821952760219574,0.5120530128479004,0.0164473684210526
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.13663554191589355,0.7422718405723572,0.010657894736842088
$a$ -- $u_1$ | $c_{1}$,0.12587490677833557,0.7996228933334351,0.01986842105263159
$\tau$ -- $u_1$ | $c_{1}$,0.0573885440826416,0.9553905725479126,0.02513157894736842
$s_v$ -- $u_1$ | $c_{1}$,0.21376383304595947,0.1495787799358368,0.011710526315789421
$v$ -- $u_2$ | $c_{1}$,0.21642225980758667,0.44917935132980347,0.009078947368421034
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.15830209851264954,0.6390708684921265,0.03460526315789472
$a$ -- $u_2$ | $c_{1}$,0.14338639378547668,0.7636299729347229,0.03289473684210527
$\tau$ -- $u_2$ | $c_{1}$,0.0819527804851532,0.933947741985321,0.03578947368421055
$v$ -- $u_1:u_2$ | $c_{1}$,0.2571049928665161,0.13555771112442017,0.010657894736842144
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.17619091272354126,0.3660126030445099,0.0342105263157895
$a$ -- $u_1:u_2$ | $c_{1}$,0.1305951476097107,0.7277217507362366,0.010263157894736835
