,NRMSE,Posterior Contraction,Calibration Error
$v$,0.19858625531196594,0.48657435178756714,0.02276315789473682
$v_{\mathrm{diff}}$,0.13637281954288483,0.7082188725471497,0.053947368421052605
$a$,0.1563434898853302,0.774082362651825,0.051973684210526366
$\tau$,0.07602587342262268,0.9426760077476501,0.05223684210526319
$s_v$,0.2240847945213318,0.23198965191841125,0.009868421052631582
$s_\tau$,0.1738336682319641,0.6490285992622375,0.04000000000000001
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.13508281111717224,0.8065524101257324,0.010921052631578942
$a$ -- $u_1$ | $c_{1}$,0.03870934247970581,0.9800949096679688,0.06657894736842107
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.12131765484809875,0.8298271894454956,0.028684210526315784
$a$ -- $u_2$ | $c_{1}$,0.059006549417972565,0.9648340940475464,0.07657894736842108
