,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09657207195470902,0.8598888563075718,0.020131578947368445
$a$,0.07031012440375914,0.9603073514587821,0.038552631578947366
$z$,0.057773515242950976,0.9588891283919044,0.015394736842105294
$\tau$,0.06272379251583063,0.9573848370213052,0.010789473684210571
$s_v$,0.19720351366089506,0.408914883083374,0.020657894736842153
$s_\tau$,0.05080971581032708,0.9706818352202979,0.01855263157894739
$v$ -- $u_1$ | $c_{1}$,0.12218873989237,0.8348489661542202,0.02197368421052634
$a$ -- $u_1$ | $c_{1}$,0.0489958483896457,0.9747357828286258,0.04539473684210524
$z$ -- $u_1$ | $c_{1}$,0.05804397310788703,0.943178445542938,0.016447368421052655
$\tau$ -- $u_1$ | $c_{1}$,0.04484620051380944,0.9895627842061347,0.01210526315789473
$s_v$ -- $u_1$ | $c_{1}$,0.23616081656345458,0.3521132694116962,0.02881578947368424
$v$ -- $u_2$ | $c_{1}$,0.11025072995224186,0.877866426737773,0.009605263157894728
$a$ -- $u_2$ | $c_{1}$,0.05660256032655796,0.974300980992304,0.017105263157894693
$z$ -- $u_2$ | $c_{1}$,0.06276215562658133,0.9493111583663447,0.05368421052631584
$\tau$ -- $u_2$ | $c_{1}$,0.03556725378571503,0.9913425703900918,0.04605263157894736
$v$ -- $u_1:u_2$ | $c_{1}$,0.12353147586508914,0.7181720625172223,0.009736842105263155
$a$ -- $u_1:u_2$ | $c_{1}$,0.08948961936467009,0.9419802529953796,0.01276315789473684
$z$ -- $u_1:u_2$ | $c_{1}$,0.09592344708869914,0.8987936945283088,0.029605263157894746
