,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08702109754085541,0.8967937231063843,0.018684210526315803
$v_\theta$,0.05654925853013992,0.9683293104171753,0.020921052631578965
$a$,0.0526198148727417,0.9633533954620361,0.011710526315789477
$\tau$,0.06686585396528244,0.954264223575592,0.0572368421052632
$s_v$,0.2673386335372925,0.05878517031669617,0.020921052631578896
$s_\tau$,0.10051827132701874,0.8925381302833557,0.04828947368421055
$v$ -- $u_1$ | $c_{1}$,0.09990310668945312,0.8743312954902649,0.014210526315789507
$v_\theta$ -- $u_1$ | $c_{1}$,0.06201477348804474,0.9781582355499268,0.012499999999999956
$a$ -- $u_1$ | $c_{1}$,0.05509420484304428,0.9737880229949951,0.03
$\tau$ -- $u_1$ | $c_{1}$,0.03947417065501213,0.9904956817626953,0.021842105263157913
$s_v$ -- $u_1$ | $c_{1}$,0.22062835097312927,0.2912708818912506,0.016578947368421068
$v$ -- $u_2$ | $c_{1}$,0.0844605416059494,0.8923707604408264,0.013421052631578945
$v_\theta$ -- $u_2$ | $c_{1}$,0.0765279233455658,0.9767163991928101,0.03723684210526318
$a$ -- $u_2$ | $c_{1}$,0.043315693736076355,0.9809280633926392,0.012500000000000039
$\tau$ -- $u_2$ | $c_{1}$,0.04777219891548157,0.9888725280761719,0.020131578947368403
$v$ -- $u_1:u_2$ | $c_{1}$,0.14235995709896088,0.684404730796814,0.023157894736842072
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.12273938953876495,0.9066205620765686,0.007763157894736805
$a$ -- $u_1:u_2$ | $c_{1}$,0.10544289648532867,0.9481295347213745,0.08236842105263162
