,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09644686430692673,0.8842777609825134,0.018026315789473668
$a$,0.05986135080456734,0.9582251906394958,0.020789473684210524
$z$,0.050979021936655045,0.9665050506591797,0.030657894736842106
$\tau$,0.03305523842573166,0.988384485244751,0.05986842105263157
$s_v$,0.2034710943698883,0.3916635811328888,0.010657894736842088
$s_\tau$,0.07724317908287048,0.9598363637924194,0.011315789473684196
$v$ -- $u_1$ | $c_{1}$,0.10149137675762177,0.8917726278305054,0.008947368421052648
$a$ -- $u_1$ | $c_{1}$,0.054628804326057434,0.9830889701843262,0.014473684210526305
$z$ -- $u_1$ | $c_{1}$,0.06409193575382233,0.967971682548523,0.06723684210526319
$v$ -- $u_2$ | $c_{1}$,0.08202257752418518,0.9213162064552307,0.019605263157894737
$a$ -- $u_2$ | $c_{1}$,0.058157145977020264,0.9849326610565186,0.025000000000000022
$z$ -- $u_2$ | $c_{1}$,0.051279447972774506,0.9578590393066406,0.008421052631578982
