,NRMSE,Posterior Contraction,Calibration Error
$v$,0.10235545784235,0.8437942266464233,0.012368421052631584
$a$,0.07870474457740784,0.9147156476974487,0.04394736842105265
$z$,0.09520475566387177,0.9082900285720825,0.043552631578947315
$\tau$,0.07417380809783936,0.919589638710022,0.05013157894736836
$v$ -- $u_1$ | $c_{1}$,0.13423675298690796,0.7610486745834351,0.013815789473684212
$a$ -- $u_1$ | $c_{1}$,0.05749288946390152,0.9565057754516602,0.026842105263157917
$z$ -- $u_1$ | $c_{1}$,0.0973314642906189,0.8827491998672485,0.03592105263157891
$v$ -- $u_2$ | $c_{1}$,0.15124548971652985,0.6472829580307007,0.04802631578947367
$a$ -- $u_2$ | $c_{1}$,0.07264241576194763,0.9337350726127625,0.027631578947368368
$z$ -- $u_2$ | $c_{1}$,0.10515370965003967,0.8625634908676147,0.05592105263157893
