,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1288626343011856,0.7229125499725342,0.0094736842105263
$a$,0.10113728791475296,0.8881919384002686,0.02197368421052631
$z$,0.09113465249538422,0.8879669904708862,0.016184210526315794
$\tau$,0.12185023725032806,0.8440243005752563,0.028684210526315784
$s_v$,0.22465631365776062,0.2344953417778015,0.011052631578947373
$s_\tau$,0.1296229511499405,0.5697658061981201,0.0161842105263158
$v$ -- $u_1$ | $c_{1}$,0.16154217720031738,0.6389870643615723,0.010921052631578915
$a$ -- $u_1$ | $c_{1}$,0.08119700849056244,0.8975304365158081,0.008421052631578982
$z$ -- $u_1$ | $c_{1}$,0.09794095158576965,0.8229786157608032,0.02671052631578949
$\tau$ -- $u_1$ | $c_{1}$,0.0936509519815445,0.9421069622039795,0.016447368421052655
$s_v$ -- $u_1$ | $c_{1}$,0.2674921154975891,0.09289893507957458,0.01513157894736844
$v$ -- $u_2$ | $c_{1}$,0.1648271381855011,0.6317294836044312,0.022499999999999964
$a$ -- $u_2$ | $c_{1}$,0.10115496814250946,0.8471283912658691,0.007763157894736861
$z$ -- $u_2$ | $c_{1}$,0.1130128726363182,0.8118268251419067,0.01671052631578951
$\tau$ -- $u_2$ | $c_{1}$,0.07557709515094757,0.9340973496437073,0.018157894736842095
$v$ -- $u_1:u_2$ | $c_{1}$,0.19274649024009705,0.21190676093101501,0.015657894736842093
$a$ -- $u_1:u_2$ | $c_{1}$,0.17948494851589203,0.6225647926330566,0.010000000000000037
$z$ -- $u_1:u_2$ | $c_{1}$,0.1727159172296524,0.5764068365097046,0.0069736842105263125
