,NRMSE,Posterior Contraction,Calibration Error
$v$,0.1280880570411682,0.7531003952026367,0.007236842105263097
$a$,0.08538611233234406,0.9007688760757446,0.025657894736842053
$z$,0.07493005692958832,0.9214004874229431,0.03868421052631579
$\tau$,0.0724075511097908,0.9279880523681641,0.014078947368421024
$s_v$,0.22659599781036377,0.24343553185462952,0.01552631578947368
$s_\tau$,0.1620623618364334,0.5701651573181152,0.020131578947368403
$v$ -- $u_1$ | $c_{1}$,0.13792800903320312,0.7194108366966248,0.09697368421052634
$a$ -- $u_1$ | $c_{1}$,0.07729993760585785,0.9443807601928711,0.04210526315789473
$z$ -- $u_1$ | $c_{1}$,0.08891411125659943,0.9085431694984436,0.027368421052631597
$v$ -- $u_2$ | $c_{1}$,0.11795345693826675,0.758648157119751,0.08710526315789473
$a$ -- $u_2$ | $c_{1}$,0.08723200857639313,0.936076283454895,0.03013157894736844
$z$ -- $u_2$ | $c_{1}$,0.07564376294612885,0.8610516786575317,0.059736842105263116
