,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.09844247996807098,0.8910093307495117,0.05592105263157893,0.23809419135431523
$v_\theta$,0.14695630967617035,0.7281439900398254,0.057499999999999996,-0.7377402751234383
$a$,0.0749157965183258,0.9262372255325317,0.011842105263157834,-1.9045178313434135
$\tau$,0.07864279299974442,0.9338033199310303,0.01868421052631576,-5.2813862113245
$s_v$,0.253023624420166,0.0,0.017894736842105297,2.4690205840279043
$s_\tau$,0.13561737537384033,0.7450605630874634,0.0135526315789474,4.072030466598039
$v$ -- $u_1$ | $c_{1}$,0.14251145720481873,0.8435603380203247,0.05394736842105259,3.402126551897526
$v_\theta$ -- $u_1$ | $c_{1}$,0.13207833468914032,0.8132216930389404,0.024078947368421033,3.0580752937479243
$a$ -- $u_1$ | $c_{1}$,0.06477364897727966,0.9492273330688477,0.02802631578947362,-0.8105666191914525
$\tau$ -- $u_1$ | $c_{1}$,0.04967213794589043,0.9797614216804504,0.027631578947368396,2.7686671539162013
$s_v$ -- $u_1$ | $c_{1}$,0.24415311217308044,0.27408334612846375,0.02526315789473684,1.3427443689588567
$s_\tau$ -- $u_1$ | $c_{1}$,0.15940925478935242,0.7782297134399414,0.017763157894736842,3.316874769997986
$v$ -- $u_2$ | $c_{1}$,0.128678098320961,0.8188032507896423,0.025657894736842157,-3.4412477349337314
$v_\theta$ -- $u_2$ | $c_{1}$,0.1324610859155655,0.8537921905517578,0.00842105263157894,4.489625841945449
$a$ -- $u_2$ | $c_{1}$,0.06325092166662216,0.9514984488487244,0.021710526315789513,1.1538916245451856
$\tau$ -- $u_2$ | $c_{1}$,0.054862357676029205,0.9716527462005615,0.010526315789473634,3.2207237867052396
$s_v$ -- $u_2$ | $c_{1}$,0.2736966013908386,0.11092647910118103,0.009736842105263155,-2.386650768751107
$s_\tau$ -- $u_2$ | $c_{1}$,0.1430569291114807,0.7733625173568726,0.01381578947368417,3.7868827319693827
$v$ -- $u_1:u_2$ | $c_{1}$,0.13174298405647278,0.6874489188194275,0.008026315789473715,4.360031385004126
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.15103237330913544,0.5546925663948059,0.027763157894736823,3.69952091585451
$a$ -- $u_1:u_2$ | $c_{1}$,0.0991329476237297,0.829136312007904,0.044999999999999984,-0.0050346816407252385
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.08509992808103561,0.9394238591194153,0.0069736842105263125,5.1350570796329995
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.2500261068344116,0.15743499994277954,0.022894736842105273,2.3056266212165757
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.1602780669927597,0.5672300457954407,0.02092105263157895,1.781575009897729
