,NRMSE,Posterior Contraction,Calibration Error
$v$,0.23113831877708435,0.4511740803718567,0.011578947368421022
$v_{\mathrm{diff}}$,0.12090356647968292,0.6694990396499634,0.030789473684210505
$a$,0.10878035426139832,0.775692343711853,0.01092105263157897
$\tau$,0.08020634949207306,0.9451780319213867,0.01789473684210527
$s_v$,0.2552289068698883,0.16409718990325928,0.018026315789473696
$s_\tau$,0.10609222948551178,0.8753609657287598,0.09039473684210528
$v$ -- $u_1$ | $c_{1}$,0.16725625097751617,0.6524540185928345,0.030789473684210505
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.08964504301548004,0.7892097234725952,0.047500000000000014
$a$ -- $u_1$ | $c_{1}$,0.08243297785520554,0.8826179504394531,0.02592105263157897
$\tau$ -- $u_1$ | $c_{1}$,0.05512702465057373,0.9866884350776672,0.022368421052631593
$s_v$ -- $u_1$ | $c_{1}$,0.1916426569223404,0.36285412311553955,0.02960526315789476
$v$ -- $u_2$ | $c_{1}$,0.1392442286014557,0.48868897557258606,0.03473684210526315
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.11837854981422424,0.7820826172828674,0.042368421052631514
$a$ -- $u_2$ | $c_{1}$,0.07999104261398315,0.9085211753845215,0.014868421052631545
$\tau$ -- $u_2$ | $c_{1}$,0.05416411906480789,0.9838201999664307,0.03578947368421054
$v$ -- $u_1:u_2$ | $c_{1}$,0.20207518339157104,0.4808308780193329,0.030657894736842106
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.13596180081367493,0.6763184070587158,0.0163157894736842
$a$ -- $u_1:u_2$ | $c_{1}$,0.1072114109992981,0.9072145223617554,0.09092105263157899
