,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08292392646333338,0.9112497650821137,0.0297368421052632
$a$,0.0536866582919203,0.9686913972662974,0.020263157894736872
$z$,0.06871849626261975,0.9619147940843986,0.017763157894736842
$\tau$,0.03579535409970167,0.9878139796481471,0.0053947368421052855
$v$ -- $u_1$ | $c_{1}$,0.09210230995517732,0.9155401643928647,0.017368421052631533
$a$ -- $u_1$ | $c_{1}$,0.03464800279956832,0.9883532151558261,0.045
$z$ -- $u_1$ | $c_{1}$,0.05841889686073436,0.9629727005054823,0.006710526315789486
$v$ -- $u_2$ | $c_{1}$,0.0957295945913832,0.9097794822468576,0.00815789473684203
$a$ -- $u_2$ | $c_{1}$,0.04289537190786614,0.9886918683270232,0.06960526315789475
$z$ -- $u_2$ | $c_{1}$,0.06157438921630485,0.9649653414026957,0.016973684210526307
