,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08999104961979064,0.8925590455017323,0.03328947368421055
$a$,0.055037652874278836,0.9691595061249743,0.009605263157894742
$z$,0.0442409443219,0.9769419033477118,0.015789473684210548
$\tau$,0.026766546851538994,0.9952212448297759,0.015526315789473666
$s_v$,0.19320522608247875,0.4325717632372051,0.01565789473684213
$s_\tau$,0.0605110479382127,0.9815354010393484,0.007763157894736805
$v$ -- $u_1$ | $c_{1}$,0.08729107117100277,0.9300431006079862,0.020657894736842125
$a$ -- $u_1$ | $c_{1}$,0.047524127082031326,0.9894097332675584,0.012500000000000006
$z$ -- $u_1$ | $c_{1}$,0.050385662206800894,0.9810055570894278,0.04539473684210529
$v$ -- $u_2$ | $c_{1}$,0.07355843999017572,0.9467404107973725,0.018157894736842067
$a$ -- $u_2$ | $c_{1}$,0.04730344646718633,0.9904839041771298,0.014473684210526333
$z$ -- $u_2$ | $c_{1}$,0.04139094469559263,0.975609131300295,0.024342105263157866
