,C2ST Accuracy
$v$,0.518925
$v_{\mathrm{diff}}$,0.5072750000000001
$a$,0.5204125000000001
$\tau$,0.5154500000000001
$s_v$,0.520975
$s_\tau$,0.5112625
$v$ -- $u_1$ | $c_{1}$,0.5043625
$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,0.509125
$a$ -- $u_1$ | $c_{1}$,0.50785
$\tau$ -- $u_1$ | $c_{1}$,0.5068250000000001
$s_v$ -- $u_1$ | $c_{1}$,0.5203125
$v$ -- $u_2$ | $c_{1}$,0.5029375
$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,0.513675
$a$ -- $u_2$ | $c_{1}$,0.503575
$\tau$ -- $u_2$ | $c_{1}$,0.5060500000000001
$v$ -- $u_1:u_2$ | $c_{1}$,0.510525
$v_{\mathrm{diff}}$ -- $u_1:u_2$ | $c_{1}$,0.5083375
$a$ -- $u_1:u_2$ | $c_{1}$,0.5057875000000001
_mean_accuracy_,0.5107590277777779
_joint_c2st_,0.7015625
