model,case,scenario,mean_accuracy,joint_c2st
RDM,intercept_only,Family_vs_BF,0.5081875,0.5321
RDM,intercept_only,Class_vs_Family,0.5105583333333333,0.534975
RDM,regressed,Family_vs_BF,0.534755,0.8539750000000002
RDM,regressed,Class_vs_Family,0.5090749999999999,0.6408124999999999
RDM,fixed,Family_vs_BF,0.50541875,0.5170375
RDM,fixed,Class_vs_Family,0.508209375,0.5224375
RDM,fixed_regressed,Family_vs_BF,0.5307984375000001,0.8130124999999999
RDM,fixed_regressed,Class_vs_Family,0.5089406249999999,0.611275
RDM,interaction,Family_vs_BF,0.5105020833333334,0.8127375000000001
RDM,interaction,Class_vs_Family,0.5107590277777779,0.7015625
