,NRMSE,Posterior Contraction,Calibration Error,Log Gamma
$v$,0.08321873098611832,0.8332456946372986,0.02447368421052637,1.1329976860326465
$a$,0.08406243473291397,0.9241645336151123,0.04605263157894737,3.701438139591081
$z$,0.07986569404602051,0.9279870986938477,0.02052631578947367,1.721029352136104
$\tau$,0.10141849517822266,0.916614830493927,0.032763157894736855,-10.229332249268426
$s_v$,0.2505468428134918,0.30849868059158325,0.02815789473684213,1.5617244740888714
$s_\tau$,0.14449310302734375,0.6808874011039734,0.02144736842105266,2.3577494030597
$v$ -- $u_1$ | $c_{1}$,0.1571526676416397,0.7632666826248169,0.034605263157894695,2.5942079873355928
$a$ -- $u_1$ | $c_{1}$,0.08114966750144958,0.9502763152122498,0.012499999999999983,3.94882462645574
$z$ -- $u_1$ | $c_{1}$,0.07595276087522507,0.9145692586898804,0.03052631578947365,3.78713034144846
$\tau$ -- $u_1$ | $c_{1}$,0.07370617240667343,0.9609807729721069,0.029078947368421093,1.2821987111972315
$s_v$ -- $u_1$ | $c_{1}$,0.26161664724349976,0.10275477170944214,0.012105263157894702,4.759062450931135
$s_\tau$ -- $u_1$ | $c_{1}$,0.132608562707901,0.7668027877807617,0.021710526315789458,4.217889070210262
$v$ -- $u_2$ | $c_{1}$,0.1339809000492096,0.7826220989227295,0.016447368421052655,4.21987156216745
$a$ -- $u_2$ | $c_{1}$,0.07856664806604385,0.9520559310913086,0.00671052631578949,4.360390294854204
$z$ -- $u_2$ | $c_{1}$,0.07606068253517151,0.9076834917068481,0.011973684210526275,3.529652627416162
$\tau$ -- $u_2$ | $c_{1}$,0.060957103967666626,0.9734798669815063,0.012631578947368442,3.7263370742077577
$s_v$ -- $u_2$ | $c_{1}$,0.2076648473739624,0.26119640469551086,0.014078947368421052,4.273541145434288
$s_\tau$ -- $u_2$ | $c_{1}$,0.16830798983573914,0.7307978868484497,0.012105263157894688,2.1182289205177955
$v$ -- $u_1:u_2$ | $c_{1}$,0.17021742463111877,0.5038673877716064,0.021315789473684232,3.8381437888626633
$a$ -- $u_1:u_2$ | $c_{1}$,0.12042613327503204,0.8181816339492798,0.008026315789473715,1.096016579204406
$z$ -- $u_1:u_2$ | $c_{1}$,0.12894009053707123,0.7895209789276123,0.011973684210526317,4.032712829360778
$\tau$ -- $u_1:u_2$ | $c_{1}$,0.08996420353651047,0.9425007104873657,0.010263157894736863,4.358571830559085
$s_v$ -- $u_1:u_2$ | $c_{1}$,0.20917826890945435,0.04552263021469116,0.010263157894736863,1.7522074286178526
$s_\tau$ -- $u_1:u_2$ | $c_{1}$,0.1823933720588684,0.5916136503219604,0.01473684210526316,2.2037247439105685
