,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09966330230236053,0.8871036767959595,0.012631578947368438
$a$,0.06483137607574463,0.9535868167877197,0.01671052631578948
$z$,0.06777061522006989,0.9628344774246216,0.01013157894736843
$\tau$,0.03686772286891937,0.9892599582672119,0.02157894736842103
$s_v$,0.2033267617225647,0.3011448085308075,0.04263157894736841
$s_\tau$,0.07168472558259964,0.9625642895698547,0.009078947368421034
$v$ -- $u_1$ | $c_{1}$,0.10372595489025116,0.9029860496520996,0.06039473684210525
$a$ -- $u_1$ | $c_{1}$,0.04844588041305542,0.9817937612533569,0.015394736842105294
$z$ -- $u_1$ | $c_{1}$,0.054151929914951324,0.961467981338501,0.04000000000000001
$v$ -- $u_2$ | $c_{1}$,0.11310428380966187,0.8850588798522949,0.026184210526315782
$a$ -- $u_2$ | $c_{1}$,0.043657418340444565,0.9839138388633728,0.008289473684210569
$z$ -- $u_2$ | $c_{1}$,0.05895485728979111,0.9565510749816895,0.0064473684210525906
