,NRMSE,Posterior Contraction,Calibration Error
$v$,0.09043943881988525,0.8736997842788696,0.016315789473684228
$a$,0.06191667914390564,0.9530496001243591,0.0203947368421053
$z$,0.06268924474716187,0.9490938186645508,0.014210526315789507
$\tau$,0.06670790910720825,0.9606341123580933,0.005000000000000003
$s_v$,0.2221856415271759,0.29543718695640564,0.01105263157894737
$s_\tau$,0.07779830694198608,0.9660504460334778,0.011973684210526303
$v$ -- $u_1$ | $c_{1}$,0.13328669965267181,0.7862142324447632,0.015394736842105294
$a$ -- $u_1$ | $c_{1}$,0.061583831906318665,0.9725883603096008,0.018684210526315803
$z$ -- $u_1$ | $c_{1}$,0.07089728116989136,0.9487884044647217,0.008289473684210569
$\tau$ -- $u_1$ | $c_{1}$,0.04269517958164215,0.9913182854652405,0.05394736842105269
$s_v$ -- $u_1$ | $c_{1}$,0.2569458782672882,0.1478760540485382,0.010921052631578915
$v$ -- $u_2$ | $c_{1}$,0.12393937259912491,0.8474302291870117,0.04236842105263158
$a$ -- $u_2$ | $c_{1}$,0.06376771628856659,0.9726163148880005,0.013684210526315813
$z$ -- $u_2$ | $c_{1}$,0.07566818594932556,0.9374471306800842,0.024342105263157887
$\tau$ -- $u_2$ | $c_{1}$,0.046368420124053955,0.9907032251358032,0.03618421052631582
$v$ -- $u_1:u_2$ | $c_{1}$,0.15034222602844238,0.700247049331665,0.010657894736842088
$a$ -- $u_1:u_2$ | $c_{1}$,0.08410900831222534,0.9294018745422363,0.02513157894736842
$z$ -- $u_1:u_2$ | $c_{1}$,0.09564109891653061,0.867556095123291,0.019078947368421043
