,NRMSE,Posterior Contraction,Calibration Error
$v$,0.08531876653432846,0.8814405798912048,0.00934210526315793
$a$,0.062214162200689316,0.9567199945449829,0.023157894736842127
$z$,0.05673643946647644,0.949831485748291,0.011184210526315783
$\tau$,0.06462003290653229,0.964746356010437,0.008157894736842114
$s_v$,0.21333733201026917,0.38868221640586853,0.014210526315789496
$s_\tau$,0.09182241559028625,0.9468491077423096,0.03894736842105265
$v$ -- $u_1$ | $c_{1}$,0.10858774185180664,0.8518454432487488,0.023815789473684235
$a$ -- $u_1$ | $c_{1}$,0.050898388028144836,0.9737905263900757,0.024342105263157915
$z$ -- $u_1$ | $c_{1}$,0.06768415868282318,0.948419451713562,0.03842105263157894
$\tau$ -- $u_1$ | $c_{1}$,0.049198564141988754,0.9917227029800415,0.014342105263157934
$s_v$ -- $u_1$ | $c_{1}$,0.19255588948726654,0.17556661367416382,0.024868421052631602
$v$ -- $u_2$ | $c_{1}$,0.13404059410095215,0.8657049536705017,0.025657894736842102
$a$ -- $u_2$ | $c_{1}$,0.05055633559823036,0.9728905558586121,0.020131578947368445
$z$ -- $u_2$ | $c_{1}$,0.07844360172748566,0.949883222579956,0.01986842105263159
$\tau$ -- $u_2$ | $c_{1}$,0.047581106424331665,0.9918208718299866,0.048684210526315816
$v$ -- $u_1:u_2$ | $c_{1}$,0.1535148024559021,0.6609786748886108,0.01684210526315789
$a$ -- $u_1:u_2$ | $c_{1}$,0.07825583964586258,0.9186404943466187,0.027236842105263167
$z$ -- $u_1:u_2$ | $c_{1}$,0.11075176298618317,0.8939170241355896,0.06697368421052635
