Model,Case,Metric,With Embedding,No Embedding,Delta
DDM,Intercept Only,NRMSE,0.09943197791775064,0.10421140554050601,0.004779427622755364
DDM,Intercept Only,Calibration Error,0.042149122807017485,0.033114035087719255,-0.00903508771929823
DDM,Intercept Only,Posterior Contraction,0.8270628949006399,0.7941815108060837,-0.03288138409455621
DDM,Fixed,NRMSE,0.0603522844612598,0.06771028786897654,0.007358003407716737
DDM,Fixed,Calibration Error,0.06266447368421045,0.0435526315789473,-0.01911184210526315
DDM,Fixed,Posterior Contraction,0.9534934908151627,0.9473323673009872,-0.006161123514175415
DDM,Regressed,NRMSE,0.08431315515190359,0.08177956348905956,-0.0025335916628440314
DDM,Regressed,Calibration Error,0.030460526315789407,0.030471491228070125,1.0964912280718442e-05
DDM,Regressed,Posterior Contraction,0.8859998658299446,0.883793942630291,-0.0022059231996536255
DDM,Fixed Regressed,NRMSE,0.07748588994145388,0.07871021181344981,0.0012243218719959342
DDM,Fixed Regressed,Calibration Error,0.035197368421052574,0.02452631578947361,-0.010671052631578963
DDM,Fixed Regressed,Posterior Contraction,0.9222237229347229,0.919277822971344,-0.0029458999633789062
DDM,Interaction,NRMSE,0.10710418327815001,0.10536189998189606,-0.0017422832962539492
DDM,Interaction,Calibration Error,0.02582602339181281,0.024232456140350824,-0.0015935672514619872
DDM,Interaction,Posterior Contraction,0.8056498169898987,0.8112282388740115,0.005578421884112839
RDM,Intercept Only,NRMSE,0.1305652409791946,0.14284065489967662,0.012275413920482009
RDM,Intercept Only,Calibration Error,0.0202412280701754,0.021688596491228004,0.0014473684210526035
RDM,Intercept Only,Posterior Contraction,0.6839537521203359,0.676786924401919,-0.007166827718416924
RDM,Fixed,NRMSE,0.15732536464929578,0.16419885307550425,0.006873488426208468
RDM,Fixed,Calibration Error,0.22782894736842105,0.23539473684210527,0.00756578947368422
RDM,Fixed,Posterior Contraction,0.7656130939722061,0.7964539527893066,0.030840858817100525
RDM,Regressed,NRMSE,0.10442745611071583,0.09652685858309262,-0.007900597527623204
RDM,Regressed,Calibration Error,0.04582894736842104,0.03590789473684204,-0.009921052631578997
RDM,Regressed,Posterior Contraction,0.7926436305046082,0.8005407273769378,0.007897096872329645
